episode,step,action1,action2,action3,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,reward,terminated,truncated
1,0,,,,0.09920145,-0.0068900865,0.14708932,0.03843967,-2.1944723e-12,0.19740014,0.0,-0.0,0.0,,False,
1,1,1.0,0.063037224,-0.5261272,0.09920145,-0.0068900865,0.14708932,0.0724671,0.0026539967,0.18795624,0.07427746,0.021143375,-0.90303874,-0.0,True,False
2,0,,,,-0.13289948,0.025260076,0.20267509,0.03843967,-2.1944723e-12,0.19740014,0.0,-0.0,0.0,,False,
2,1,-1.0,0.038173668,-0.13578331,-0.13289948,0.025260076,0.20267509,0.007910289,0.0017163234,0.19091588,-0.37107712,0.013118169,0.04547803,-1.0,False,False
2,2,-1.0,-0.5519535,0.050271727,-0.13289948,0.025260076,0.20267509,-0.02705739,-0.018553477,0.19056518,-0.25748315,-0.41024008,0.1853898,-1.0,False,False
2,3,-1.0,0.2677267,1.0,-0.13289948,0.025260076,0.20267509,-0.07563971,-0.010806471,0.19687901,-0.6483697,0.31203845,0.6878866,-1.0,False,False
2,4,-1.0,-0.947645,1.0,-0.13289948,0.025260076,0.20267509,-0.11709561,-0.030069044,0.22622433,-0.1329441,-1.340589,0.95777,-1.0,False,False
2,5,1.0,0.5995181,1.0,-0.13289948,0.025260076,0.20267509,-0.09003463,-0.052328628,0.2639996,0.76678085,0.3438649,0.552798,-1.0,False,False
2,6,1.0,1.0,1.0,-0.13289948,0.025260076,0.20267509,-0.057598934,-0.0147862695,0.29551363,0.4346456,0.8034789,0.74140716,-1.0,False,False
2,7,-0.28968993,-0.08031718,1.0,-0.13289948,0.025260076,0.20267509,-0.06891337,-0.012109523,0.32602006,-0.115402594,-0.36479962,0.99266315,-1.0,False,False
2,8,0.87951994,-0.48853222,1.0,-0.13289948,0.025260076,0.20267509,-0.0433381,-0.03219463,0.36831173,0.5413959,-0.20699997,0.40350348,-1.0,False,False
2,9,1.0,1.0,1.0,-0.13289948,0.025260076,0.20267509,-0.015313488,-0.010528176,0.3913741,0.3613618,1.3053197,0.42597213,-1.0,False,False
2,10,-1.0,-0.10558773,-0.907136,-0.13289948,0.025260076,0.20267509,-0.034034424,0.011286034,0.37497997,-0.74206394,-0.23646316,-0.8515849,-1.0,False,False
2,11,-1.0,-0.2500834,-1.0,-0.13289948,0.025260076,0.20267509,-0.06957837,0.00020153995,0.3324915,-0.49701354,-0.07957927,-0.59490734,-1.0,False,False
2,12,-1.0,-0.0026441887,-1.0,-0.13289948,0.025260076,0.20267509,-0.103073195,7.314348e-05,0.2926187,-0.71031904,0.0007564468,-0.791799,-1.0,False,False
2,13,-1.0,-0.14732116,-1.0,-0.13289948,0.025260076,0.20267509,-0.14154817,-0.006289512,0.24899146,-0.8160314,-0.045425046,-0.8279191,-1.0,False,False
2,14,-1.0,-0.04012937,-1.0,-0.13289948,0.025260076,0.20267509,-0.18375526,-0.008067625,0.20396073,-1.0095294,0.0036310668,-0.89566016,-1.0,False,False
2,15,-1.0,-0.17339873,-1.0,-0.13289948,0.025260076,0.20267509,-0.22930487,-0.01520138,0.15997674,-1.0527687,-0.025261618,-0.7919603,-1.0,False,False
2,16,-1.0,-0.04915697,-1.0,-0.13289948,0.025260076,0.20267509,-0.27630243,-0.017034074,0.12077622,-1.0778034,0.0356253,-0.66311854,-1.0,False,False
2,17,-1.0,-0.074841924,-1.0,-0.13289948,0.025260076,0.20267509,-0.32458097,-0.019312514,0.08878965,-0.98241156,0.04105199,-0.47617364,-1.0,False,False
2,18,-1.0,0.14060813,-1.0,-0.13289948,0.025260076,0.20267509,-0.32240033,-0.016648779,0.084776856,0.060643096,0.020172575,-0.001080282,-1.0,False,False
2,19,1.0,1.0,1.0,-0.13289948,0.025260076,0.20267509,-0.3135169,0.0159442,0.09313145,1.7633998,0.6229205,0.9041064,-1.0,False,False
2,20,1.0,0.902095,1.0,-0.13289948,0.025260076,0.20267509,-0.26573932,0.0521829,0.1305831,0.30126932,0.37373495,0.34650338,-1.0,False,False
2,21,1.0,-0.7566324,1.0,-0.13289948,0.025260076,0.20267509,-0.23561077,0.02975728,0.15997346,1.0993071,-0.66387564,0.8463082,-1.0,False,False
2,22,1.0,1.0,1.0,-0.13289948,0.025260076,0.20267509,-0.19269678,0.04793404,0.20038532,0.5507548,1.5002376,0.6656159,-1.0,False,False
2,23,1.0,-1.0,1.0,-0.13289948,0.025260076,0.20267509,-0.16231775,0.06768532,0.23666243,0.62968117,-0.5963738,0.5933827,-1.0,False,False
2,24,1.0,-0.28720602,1.0,-0.13289948,0.025260076,0.20267509,-0.12997094,0.053588808,0.27007756,0.5512125,-0.0672674,0.6903444,-1.0,False,False
2,25,1.0,-0.5957418,1.0,-0.13289948,0.025260076,0.20267509,-0.0972857,0.03098208,0.30475098,0.48238653,-0.39583927,0.59648734,-1.0,False,False
2,26,1.0,0.026574247,1.0,-0.13289948,0.025260076,0.20267509,-0.06665006,0.030830152,0.33566463,0.45421818,0.031870075,0.7111912,-1.0,False,False
2,27,1.0,-0.53655946,1.0,-0.13289948,0.025260076,0.20267509,-0.036828257,0.011335747,0.3695272,0.39168933,-0.41834167,0.49411172,-1.0,False,False
2,28,1.0,0.30648518,1.0,-0.13289948,0.025260076,0.20267509,-0.009738687,0.020155562,0.39655653,0.3362879,0.30604866,0.5315432,-1.0,False,False
2,29,-0.34388807,-0.6980892,1.0,-0.13289948,0.025260076,0.20267509,-0.021533577,0.0027292136,0.41707066,-0.20184875,-0.94886327,0.82230633,-1.0,False,False
2,30,1.0,-0.6080959,1.0,-0.13289948,0.025260076,0.20267509,0.0037659747,-0.023527987,0.45656648,0.37260723,-0.19197422,0.123020664,-1.0,False,False
2,31,0.5306032,1.0,-1.0,-0.13289948,0.025260076,0.20267509,0.025097009,-0.003431366,0.42936206,0.30881444,1.2430286,-1.2889878,-1.0,False,False
2,32,-1.0,0.2020627,-1.0,-0.13289948,0.025260076,0.20267509,-0.002801554,0.017578498,0.35810113,-0.8364472,-0.21385264,-1.3499268,-1.0,False,False
2,33,-1.0,-0.22964895,-1.0,-0.13289948,0.025260076,0.20267509,-0.040536817,0.0077960403,0.30070052,-0.9015504,-0.08073645,-0.9654349,-1.0,False,False
2,34,-1.0,-0.39009017,-1.0,-0.13289948,0.025260076,0.20267509,-0.07574079,-0.008344162,0.2555443,-0.7415418,-0.17841235,-0.78618705,-1.0,False,False
2,35,-1.0,0.060257487,-1.0,-0.13289948,0.025260076,0.20267509,-0.11396841,-0.0058825053,0.21148007,-0.915478,0.036970403,-0.8740507,-0.0,True,False
3,0,,,,0.11871319,-0.07653605,0.26846245,0.03843967,-2.1944723e-12,0.19740014,0.0,-0.0,0.0,,False,
3,1,1.0,-1.0,0.43374735,0.11871319,-0.07653605,0.26846245,0.06227073,-0.022651294,0.20163631,0.39290655,-1.1591117,0.1724653,-1.0,False,False
